feature,flagged_standardized_difference
instant_claim_rate,2.950756883004453
sessions_per_active_day,2.757654859406887
session_count,2.6364044997680245
avg_session_seconds,-2.5511004269307915
ad_views,2.499032725026328
reward_claims,2.4633630552882053
avg_level_gain,-2.36651385086823
account_creation_span_hours,2.234639513048304
users_on_device,2.2085365616681947
net_reward_loss_usd,2.169292261119805
sessions_peer_zscore,2.1628168789786293
distinct_session_hours,2.0612329012173647
stddev_session_seconds,-1.6978900295980468
active_days,1.507359365863094
claim_delay_peer_zscore,-1.0999748520140746
ad_completion_rate,0.6876510513906797
reward_claim_rate,0.5938104497358526
claim_rate_peer_zscore,0.4914123762082219
median_claim_delay_seconds,-0.26413950190992697
p10_claim_delay_seconds,0.1144379709851344
total_level_gain,-0.07563271183775296
